epoch,greenTime,reward
1.0,60.0,11.11
2.0,60.0,13.45
3.0,60.0,1.12
4.0,60.0,-3.56
5.0,60.0,-4.52
6.0,60.0,-5.49
7.0,60.0,-6.04
8.0,60.0,-5.71
9.0,60.0,-5.81
10.0,60.0,-6.01
11.0,60.0,-5.86
12.0,60.0,-5.94
13.0,60.0,-6.29
14.0,60.0,-6.4
15.0,60.0,-6.43
16.0,60.0,-6.57
17.0,60.0,-6.36
18.0,60.0,-6.2
19.0,60.0,-6.49
20.0,60.0,-6.51
21.0,60.0,-6.29
22.0,60.0,-5.85
23.0,60.0,-6.12
24.0,60.0,-6.65
25.0,60.0,-6.7
26.0,60.0,-6.84
27.0,60.0,-6.59
28.0,60.0,-5.94
29.0,60.0,-6.5
30.0,60.0,-6.75
31.0,60.0,-6.84
32.0,60.0,-6.84
33.0,60.0,-6.73
34.0,60.0,-7.03
35.0,60.0,-7.09
36.0,60.0,-6.97
37.0,60.0,-6.84
38.0,60.0,-6.22
39.0,60.0,-6.69
40.0,60.0,-6.95
41.0,60.0,-6.91
42.0,60.0,-6.85
43.0,60.0,-6.59
44.0,60.0,-6.34
45.0,60.0,-6.44
46.0,60.0,-6.94
47,60.0,-6.79
