epoch,greenTime,reward
1.0,60.0,7.09
2.0,60.0,9.24
3.0,60.0,1.51
4.0,60.0,-3.9
5.0,60.0,-4.51
6.0,60.0,-4.77
7.0,60.0,-5.34
8.0,60.0,-5.75
9.0,60.0,-5.32
10.0,60.0,-5.04
11.0,60.0,-5.61
12.0,60.0,-5.99
13.0,60.0,-5.82
14.0,60.0,-5.85
15.0,60.0,-5.56
16.0,60.0,-5.16
17.0,60.0,-5.35
18.0,60.0,-5.91
19.0,60.0,-5.78
20.0,60.0,-5.67
21.0,60.0,-5.63
22.0,60.0,-5.4
23.0,60.0,-5.32
24.0,60.0,-5.57
25.0,60.0,-5.41
26.0,60.0,-5.54
27.0,60.0,-5.66
28.0,60.0,-5.5
29.0,60.0,-5.5
30.0,60.0,-5.71
31.0,60.0,-5.96
32.0,60.0,-5.32
33.0,60.0,-5.12
34.0,60.0,-5.57
35.0,60.0,-5.6
36.0,60.0,-5.63
37.0,60.0,-5.81
38.0,60.0,-5.66
39.0,60.0,-5.51
40.0,60.0,-5.64
41.0,60.0,-5.74
42.0,60.0,-5.61
43.0,60.0,-5.8
44.0,60.0,-5.67
45.0,60.0,-5.76
46.0,60.0,-5.76
47,60.0,-5.87
