time,avgFlowRate,avgSpeed,avgDensity,avgWaiting,avgQLength
11.0,0.0,36.76,0.42,0.0,0.0
21.0,0.0,46.04,1.04,0.0,0.0
31.0,0.0,47.59,1.56,0.0,0.0
41.0,0.0,46.04,2.6,0.0,0.0
51.0,0.0,46.18,3.33,0.0,0.0
61.0,0.0,47.28,4.17,0.0,0.0
71.0,0.0,47.67,4.58,0.0,0.0
81.0,0.0,47.79,5.21,0.0,0.0
91.0,0.0,47.95,6.04,0.0,0.0
101.0,0.0,47.63,6.98,0.0,0.0
111.0,0.0,47.49,7.81,0.0,0.0
121.0,0.0,47.73,8.96,0.0,0.0
131.0,0.0,47.73,9.48,0.0,0.0
141.0,0.0,47.45,10.21,0.0,0.0
151.0,0.0,47.62,10.83,0.0,0.0
161.0,0.0,47.66,11.25,0.0,0.0
171.0,0.0,47.85,12.29,0.0,0.0
181.0,0.0,47.11,12.92,5.0,1.5
191.0,18.95,45.15,13.75,8.4,3.75
201.0,108.0,46.32,13.96,17.67,2.25
211.0,120.0,44.76,14.79,15.0,4.5
221.0,114.55,44.83,15.52,21.12,6.0
231.0,172.17,43.32,16.04,26.1,7.5
241.0,255.0,41.54,15.94,25.4,11.25
251.0,288.0,40.39,16.46,22.81,19.5
261.0,360.0,41.02,16.56,26.04,15.0
271.0,440.0,42.3,16.46,33.62,18.0
281.0,424.29,40.15,17.29,36.9,21.75
291.0,422.07,38.57,17.71,38.05,27.75
301.0,444.0,36.28,18.23,37.65,36.75
311.0,441.29,34.75,18.65,40.58,44.25
321.0,472.5,35.61,18.75,45.45,38.25
331.0,545.45,36.69,18.65,48.78,30.75
341.0,603.53,35.51,18.75,46.33,36.0
351.0,627.43,35.27,18.96,51.68,39.75
361.0,680.0,34.02,18.85,56.5,45.0
371.0,700.54,34.14,19.06,62.03,48.75
381.0,701.05,32.74,19.58,62.5,52.5
391.0,756.92,32.16,19.58,54.99,45.0
401.0,828.0,32.09,19.58,53.06,41.25
411.0,886.83,33.35,19.38,56.37,36.0
421.0,917.14,33.15,19.48,57.1,37.5
431.0,946.05,33.57,19.79,59.68,41.25
441.0,965.45,33.45,20.21,66.45,44.25
451.0,992.0,32.87,20.42,60.95,39.75
461.0,1048.7,33.14,20.42,49.18,39.0
471.0,1095.32,34.06,20.31,50.1,35.25
481.0,1125.0,33.54,20.1,52.32,37.5
491.0,1160.82,32.86,20.1,53.88,44.25
501.0,1166.4,33.37,20.62,62.02,47.25
511.0,1185.88,34.49,21.04,62.19,42.75
521.0,1232.31,34.91,20.94,59.51,39.0
531.0,1243.02,34.26,21.15,60.36,36.0
541.0,1253.33,35.28,21.56,60.26,39.0
551.0,1269.82,34.73,21.67,62.65,44.25
561.0,1279.29,35.2,21.87,74.97,44.25
571.0,1275.79,34.95,22.4,79.11,44.25
581.0,1303.45,33.67,22.29,66.13,42.0
591.0,1336.27,33.4,22.19,64.77,40.5
601.0,1344.0,32.92,22.4,63.83,44.25
611.0,1363.28,32.42,22.29,66.72,49.5
621.0,1376.13,32.38,22.4,75.15,53.25
631.0,1388.57,31.43,22.71,78.87,57.75
641.0,1411.88,31.6,22.6,72.81,52.5
651.0,1428.92,31.3,22.81,71.88,51.0
661.0,1434.55,30.54,23.23,67.05,51.75
671.0,1445.37,30.27,23.23,65.45,48.75
681.0,1445.29,29.72,23.75,59.68,54.75
691.0,1466.09,30.38,23.65,62.95,58.5
701.0,1465.71,29.03,23.96,63.57,56.25
711.0,1490.7,28.83,23.85,63.19,57.75
721.0,1505.0,28.89,23.54,61.32,60.75
731.0,1509.04,29.14,23.75,61.05,65.25
741.0,1512.97,28.53,24.27,64.27,71.25
751.0,1512.0,28.67,24.48,71.55,74.25
761.0,1525.26,27.9,24.79,75.08,75.75
771.0,1547.53,27.37,24.27,69.87,69.0
781.0,1573.85,29.52,24.38,73.33,61.5
791.0,1590.38,28.99,24.06,75.45,61.5
801.0,1588.5,29.46,24.58,77.25,61.5
811.0,1600.0,30.54,24.58,81.52,65.25
821.0,1593.66,28.44,25.1,85.29,70.5
831.0,1609.16,26.73,25.0,74.38,74.25
841.0,1628.57,26.77,24.69,72.7,72.75
851.0,1651.76,27.88,24.58,76.73,70.5
861.0,1661.86,28.27,24.79,78.46,69.75
871.0,1667.59,28.4,24.9,82.98,70.5
