time,avgFlowRate,avgSpeed,avgDensity,avgWaiting,avgQLength
11.0,0.0,24.97,0.31,0.0,0.0
21.0,0.0,47.18,1.25,0.0,0.0
31.0,0.0,47.96,1.56,0.0,0.0
41.0,0.0,46.64,2.5,0.0,0.0
51.0,0.0,46.76,3.12,0.0,0.0
61.0,0.0,47.36,3.65,0.0,0.0
71.0,0.0,47.69,4.48,0.0,0.0
81.0,0.0,47.49,5.1,0.0,0.0
91.0,0.0,48.21,5.52,0.0,0.0
101.0,0.0,48.35,6.35,0.0,0.0
111.0,0.0,48.12,7.08,0.0,0.0
121.0,0.0,47.91,7.5,0.0,0.0
131.0,0.0,47.96,8.33,0.0,0.0
141.0,0.0,48.14,8.75,0.0,0.0
151.0,0.0,48.26,9.58,0.0,0.0
161.0,0.0,48.37,10.1,0.0,0.0
171.0,0.0,48.22,10.63,0.0,0.0
181.0,0.0,46.95,11.25,4.5,1.5
191.0,0.0,44.54,11.77,8.17,4.5
201.0,18.0,44.42,12.81,13.33,6.75
211.0,34.29,42.88,13.23,19.91,8.25
221.0,49.09,41.88,13.96,21.88,12.75
231.0,46.96,39.71,14.58,24.48,17.25
241.0,75.0,37.62,14.79,27.17,22.5
251.0,100.8,36.22,15.1,31.92,27.0
261.0,166.15,37.15,15.21,34.29,21.0
271.0,266.67,38.1,15.0,37.76,24.0
281.0,295.71,38.01,15.31,45.23,26.25
291.0,285.52,36.14,16.15,49.1,30.0
301.0,300.0,35.15,16.35,52.28,34.5
311.0,336.77,34.02,16.67,54.7,39.75
321.0,360.0,33.16,16.98,58.39,36.0
331.0,447.27,34.51,16.77,48.62,30.75
341.0,529.41,36.01,16.35,59.02,32.25
351.0,565.71,36.49,16.46,69.73,33.0
361.0,570.0,34.89,17.19,70.94,37.5
371.0,574.05,33.46,17.4,69.47,44.25
381.0,606.32,31.99,17.71,71.48,45.75
391.0,664.62,31.53,17.6,63.33,37.5
401.0,738.0,32.83,16.98,53.83,34.5
411.0,807.8,34.87,16.67,58.18,36.75
421.0,822.86,34.58,16.88,64.62,39.75
431.0,820.47,33.24,17.08,67.36,44.25
441.0,818.18,33.38,17.4,76.15,45.0
451.0,848.0,33.59,17.71,69.8,36.75
461.0,907.83,34.39,17.29,62.65,26.25
471.0,972.77,35.56,16.67,57.41,30.75
481.0,997.5,34.54,16.35,60.81,34.5
491.0,984.49,34.66,17.08,67.88,36.75
501.0,993.6,33.89,17.08,73.71,39.0
511.0,1016.47,33.45,17.4,66.45,37.5
521.0,1052.31,32.78,16.88,56.38,33.75
531.0,1093.58,33.43,16.46,53.98,33.75
541.0,1120.0,32.47,16.25,55.31,39.0
551.0,1132.36,31.8,16.56,64.88,42.75
561.0,1131.43,32.46,16.88,71.55,45.0
571.0,1130.53,32.29,17.29,73.32,45.0
581.0,1160.69,32.29,17.08,68.53,33.0
591.0,1202.03,33.17,16.88,58.89,30.75
601.0,1230.0,33.88,16.67,58.39,30.0
611.0,1239.34,34.13,16.98,59.59,33.75
621.0,1248.39,34.6,17.08,68.88,35.25
631.0,1245.71,34.35,17.4,74.39,38.25
641.0,1265.62,35.41,17.4,64.49,30.0
651.0,1296.0,36.33,17.29,56.42,28.5
661.0,1303.64,35.68,17.4,58.47,31.5
671.0,1316.42,34.55,17.6,59.29,36.75
681.0,1323.53,33.45,17.6,63.19,40.5
691.0,1320.0,32.32,18.12,65.38,45.75
701.0,1326.86,33.06,18.02,64.22,39.75
711.0,1358.87,35.16,17.92,56.56,30.0
721.0,1390.0,36.79,17.5,61.76,30.75
731.0,1395.62,36.95,17.5,68.18,33.75
741.0,1381.62,34.63,18.13,69.59,38.25
751.0,1368.0,33.8,18.96,71.91,42.75
761.0,1359.47,32.61,19.38,68.9,44.25
771.0,1379.22,32.14,19.17,56.56,37.5
781.0,1407.69,32.96,18.96,51.78,34.5
791.0,1426.33,33.78,18.85,53.07,35.25
801.0,1426.5,33.37,18.96,57.52,38.25
811.0,1435.56,32.12,18.96,64.48,42.0
821.0,1440.0,30.44,18.75,66.85,48.75
831.0,1457.35,31.39,18.54,56.42,41.25
841.0,1482.86,31.98,18.23,51.52,41.25
851.0,1499.29,32.04,18.12,56.57,44.25
861.0,1506.98,32.73,18.23,64.06,46.5
871.0,1493.79,31.78,18.96,67.9,51.0
881.0,1485.0,31.37,19.58,73.93,54.0
891.0,1492.58,31.88,19.69,73.0,47.25
901.0,1512.0,32.86,19.27,79.08,39.75
911.0,1527.03,32.61,19.17,69.31,42.0
921.0,1530.0,33.3,19.27,69.63,45.0
931.0,1532.9,32.57,19.17,73.04,48.0
941.0,1531.91,30.9,19.58,76.61,54.0
951.0,1542.32,30.03,19.58,74.25,54.0
961.0,1556.25,29.75,19.17,65.09,46.5
971.0,1577.32,31.04,18.85,61.26,43.5
981.0,1594.29,32.23,18.33,66.61,42.75
991.0,1592.73,31.32,18.54,73.95,44.25
1001.0,1594.8,30.89,18.23,82.86,47.25
1011.0,1593.27,30.14,18.44,82.44,51.0
1021.0,1605.88,31.05,18.54,75.7,40.5
1031.0,1621.75,30.43,18.23,62.8,39.0
1041.0,1637.31,31.2,17.81,57.84,37.5
1051.0,1638.86,32.01,17.92,59.05,38.25
1061.0,1647.17,32.24,17.92,66.05,39.75
1071.0,1645.23,32.57,18.02,76.31,41.25
1081.0,1650.0,31.3,18.12,64.52,39.75
1091.0,1667.89,32.03,18.12,51.53,37.5
1101.0,1685.45,33.52,17.4,53.22,39.0
1111.0,1686.49,33.7,17.71,58.36,43.5
1121.0,1681.07,31.61,17.92,60.55,49.5
1131.0,1666.19,31.0,18.44,64.55,54.75
