time,avgFlowRate,avgSpeed,avgDensity,avgWaiting,avgQLength
11.0,0.0,33.89,0.52,0.0,0.0
21.0,0.0,47.07,1.25,0.0,0.0
31.0,0.0,46.84,2.08,0.0,0.0
41.0,0.0,46.66,3.33,0.0,0.0
51.0,0.0,46.89,4.38,0.0,0.0
61.0,0.0,46.88,5.21,0.0,0.0
71.0,0.0,46.58,5.94,0.0,0.0
81.0,0.0,47.86,6.77,0.0,0.0
91.0,0.0,47.17,7.6,0.0,0.0
101.0,0.0,47.48,8.65,0.0,0.0
111.0,0.0,47.86,9.58,0.0,0.0
121.0,0.0,47.72,10.31,0.0,0.0
131.0,0.0,47.73,11.35,0.0,0.0
141.0,0.0,47.87,11.98,0.0,0.0
151.0,0.0,47.55,13.33,0.0,0.0
161.0,0.0,48.09,14.06,0.0,0.0
171.0,0.0,48.24,15.31,0.0,0.0
181.0,0.0,47.37,16.35,3.0,1.5
191.0,37.89,45.93,17.08,6.17,4.5
201.0,126.0,46.55,17.29,15.0,2.25
211.0,188.57,46.31,18.02,17.6,3.75
221.0,327.27,45.68,18.02,13.6,3.75
231.0,391.3,43.49,18.02,11.43,10.5
241.0,420.0,42.33,18.54,16.45,15.0
251.0,432.0,42.07,19.27,23.7,17.25
261.0,470.77,40.71,19.9,30.35,19.5
271.0,493.33,39.77,20.52,32.41,25.5
281.0,540.0,38.05,20.94,33.69,24.75
291.0,633.1,39.11,20.94,30.65,22.5
301.0,720.0,38.54,21.25,33.33,28.5
311.0,743.23,38.49,21.77,41.93,30.75
321.0,753.75,36.03,22.6,42.57,38.25
331.0,763.64,34.01,23.12,42.95,48.0
341.0,825.88,34.65,23.75,45.21,38.25
351.0,905.14,35.02,23.23,44.89,38.25
361.0,970.0,36.09,23.33,52.21,40.5
371.0,992.43,35.96,24.17,62.95,41.25
381.0,1013.68,34.9,24.27,65.0,48.75
391.0,1043.08,35.71,24.79,74.02,49.5
401.0,1071.0,34.68,25.1,64.64,46.5
411.0,1123.9,34.83,24.9,57.01,42.0
421.0,1191.43,36.11,24.69,60.37,43.5
431.0,1247.44,33.96,24.38,66.99,51.0
441.0,1243.64,33.31,24.79,70.39,57.0
451.0,1240.0,32.82,25.31,75.78,60.75
461.0,1244.35,31.28,26.15,73.66,63.75
471.0,1263.83,32.17,26.46,73.55,60.75
481.0,1275.0,31.98,27.19,71.6,60.75
