epoch,greenTime,reward
1.0,60.0,0.48
2.0,60.0,0.48
3.0,60.0,0.48
4.0,20.0,0.55
5.0,60.0,0.76
6.0,60.0,1.3
7.0,60.0,2.48
8.0,41.0,3.46
9.0,34.0,3.9
10.0,49.0,4.47
11.0,30.0,4.49
12.0,60.0,5.29
13.0,60.0,5.51
14.0,60.0,4.9
15.0,60.0,4.73
16.0,60.0,4.75
17.0,60.0,4.83
18.0,52.0,4.88
19.0,60.0,4.9
20.0,60.0,5.37
21.0,60.0,5.65
22.0,58.0,5.09
23.0,60.0,5.62
24.0,44.0,5.6
25.0,38.0,5.11
26.0,60.0,5.08
27.0,60.0,5.37
28.0,60.0,5.15
29.0,60.0,5.22
30.0,60.0,6.15
31.0,60.0,5.74
32.0,60.0,5.19
33.0,60.0,5.04
34.0,56.0,5.04
35.0,52.0,5.16
36.0,44.0,5.15
37.0,60.0,5.17
38.0,60.0,5.18
39.0,60.0,5.61
40.0,49.0,5.53
41.0,58.0,5.9
42.0,48.0,5.54
43.0,43.0,5.42
44.0,44.0,5.55
45.0,31.0,5.48
46.0,44.0,5.68
47.0,60.0,5.7
48.0,55.0,5.39
49.0,36.0,5.19
50.0,34.0,5.07
51.0,45.0,5.32
52.0,50.0,5.39
53.0,38.0,5.23
54.0,40.0,5.51
55.0,43.0,5.45
56.0,60.0,5.39
57.0,60.0,6.11
58.0,32.0,5.54
59.0,60.0,6.43
60.0,36.0,6.11
61.0,60.0,5.87
62.0,37.0,5.72
63.0,35.0,6.08
64.0,40.0,6.02
65.0,60.0,5.56
66.0,49.0,5.54
67.0,60.0,5.28
68.0,60.0,5.72
69.0,55.0,5.71
70.0,34.0,5.42
71.0,33.0,5.46
72.0,60.0,5.73
73.0,45.0,5.28
74.0,41.0,5.07
75.0,60.0,5.03
76.0,60.0,5.05
77.0,37.0,5.08
78.0,60.0,5.42
79.0,60.0,5.46
80.0,45.0,5.23
81.0,43.0,5.22
82.0,60.0,5.1
83.0,60.0,5.21
84.0,60.0,5.2
85.0,45.0,5.17
86.0,60.0,5.52
87.0,41.0,5.58
88.0,45.0,5.38
89.0,33.0,5.16
90.0,31.0,5.1
91.0,21.0,5.18
92.0,60.0,5.4
93.0,60.0,5.12
94.0,60.0,5.2
95.0,32.0,5.24
96.0,51.0,5.57
97.0,56.0,5.42
98.0,23.0,5.32
99.0,50.0,5.17
100.0,60.0,5.16
101.0,60.0,5.06
102.0,51.0,5.0
103.0,60.0,5.48
104.0,25.0,5.66
105.0,27.0,5.41
106.0,60.0,5.95
107.0,36.0,5.46
108.0,60.0,5.38
109.0,60.0,5.64
110.0,60.0,5.73
111.0,30.0,5.28
112.0,42.0,5.34
113.0,44.0,5.47
114.0,34.0,5.46
115.0,49.0,5.57
116.0,42.0,5.28
117.0,42.0,5.22
118.0,60.0,5.05
119.0,60.0,5.39
120.0,60.0,5.64
121.0,42.0,5.91
122.0,28.0,5.89
123.0,60.0,6.61
124.0,47.0,5.84
125.0,42.0,5.79
126.0,29.0,5.72
127.0,57.0,5.7
128.0,28.0,5.27
129.0,57.0,5.1
130.0,60.0,5.56
131.0,60.0,5.61
132.0,46.0,5.43
133.0,30.0,5.66
134.0,35.0,5.78
135.0,31.0,5.35
136.0,27.0,5.57
137.0,39.0,5.59
138.0,41.0,5.27
139.0,45.0,5.24
140.0,60.0,5.06
141.0,60.0,4.99
142.0,60.0,4.99
143.0,60.0,5.23
144.0,37.0,5.55
145.0,60.0,5.9
146.0,44.0,5.44
147.0,44.0,5.64
148.0,41.0,6.01
149.0,60.0,5.72
150.0,60.0,5.81
151.0,60.0,5.6
152.0,53.0,5.56
153.0,36.0,5.12
154.0,48.0,5.14
155.0,60.0,5.11
156.0,60.0,5.33
157.0,42.0,5.18
158.0,49.0,5.16
159.0,35.0,5.12
160.0,60.0,5.08
161.0,60.0,5.04
162.0,60.0,5.13
163.0,51.0,5.14
164.0,60.0,5.13
165.0,60.0,5.02
166.0,60.0,5.07
167.0,60.0,5.16
168.0,31.0,5.11
169.0,60.0,5.11
170.0,60.0,5.39
171.0,34.0,5.43
172.0,30.0,5.27
173.0,30.0,5.3
174.0,24.0,5.33
175.0,34.0,5.26
176.0,60.0,5.33
177.0,60.0,5.39
178.0,60.0,5.51
179.0,60.0,5.28
180.0,60.0,5.33
181.0,56.0,5.24
182.0,60.0,5.08
183.0,60.0,5.18
184.0,60.0,5.1
185.0,60.0,5.41
186.0,25.0,5.64
187.0,26.0,6.38
188.0,20.0,5.92
189.0,32.0,6.1
190.0,25.0,5.86
191.0,20.0,5.44
192.0,60.0,6.58
193.0,36.0,5.77
194.0,37.0,5.36
195.0,40.0,5.35
196.0,52.0,5.73
197.0,60.0,5.2
198.0,60.0,5.09
199.0,37.0,5.03
200.0,60.0,5.02
201.0,60.0,5.16
202.0,60.0,5.39
203.0,60.0,5.23
204.0,54.0,5.17
205.0,60.0,5.16
206,60.0,5.26
