time,avgFlowRate,avgSpeed,avgDensity,avgWaiting,avgQLength
11.0,0.0,12.96,0.1,0.0,0.0
21.0,0.0,24.8,0.21,0.0,0.0
31.0,0.0,46.45,0.62,0.0,0.0
41.0,0.0,43.71,1.04,0.0,0.0
51.0,0.0,46.86,1.25,0.0,0.0
61.0,0.0,44.96,1.56,0.0,0.0
71.0,0.0,46.32,1.98,0.0,0.0
81.0,0.0,45.53,2.5,0.0,0.0
91.0,0.0,45.97,2.6,0.0,0.0
101.0,0.0,46.06,2.81,0.0,0.0
111.0,0.0,47.49,3.23,0.0,0.0
121.0,0.0,47.4,3.44,0.0,0.0
131.0,0.0,47.87,3.96,0.0,0.0
141.0,0.0,48.03,4.38,0.0,0.0
151.0,0.0,47.81,4.79,0.0,0.0
161.0,0.0,47.29,5.0,5.0,0.75
171.0,0.0,47.54,5.42,15.0,0.75
181.0,0.0,46.86,6.15,16.0,1.5
191.0,0.0,45.32,6.56,15.0,3.0
201.0,0.0,43.47,6.88,17.5,4.5
211.0,0.0,41.43,6.98,20.33,6.75
221.0,16.36,41.11,7.08,26.36,8.25
231.0,15.65,41.19,7.5,36.36,8.25
241.0,30.0,40.32,7.81,37.71,10.5
251.0,115.2,40.58,7.4,28.91,8.25
261.0,138.46,37.9,7.4,27.12,12.75
271.0,133.33,36.44,7.6,31.19,15.75
281.0,128.57,35.68,7.81,37.78,17.25
291.0,186.21,35.84,8.02,43.83,16.5
301.0,276.0,38.12,7.6,35.17,9.75
311.0,325.16,39.1,7.08,40.27,11.25
321.0,337.5,38.95,7.29,49.6,11.25
331.0,338.18,36.71,7.29,47.63,14.25
341.0,349.41,35.45,7.5,49.0,12.0
351.0,401.14,37.39,7.4,45.33,12.75
361.0,390.0,37.01,7.5,50.95,14.25
371.0,398.92,36.01,7.92,51.5,16.5
381.0,388.42,36.2,8.23,57.04,17.25
391.0,415.38,34.58,8.12,46.12,13.5
401.0,468.0,35.79,7.71,40.79,12.0
411.0,482.93,35.99,7.81,47.16,14.25
421.0,488.57,35.18,7.92,45.88,18.0
431.0,485.58,35.15,8.02,52.56,18.75
441.0,531.82,36.56,7.71,49.33,12.0
451.0,560.0,38.8,7.5,57.06,12.0
461.0,555.65,37.33,7.92,51.33,15.75
471.0,543.83,35.98,8.23,57.32,16.5
481.0,547.5,35.69,8.12,60.5,18.0
491.0,587.76,37.81,7.81,50.05,11.25
501.0,604.8,38.44,8.02,50.28,13.5
511.0,607.06,37.1,8.23,46.52,17.25
521.0,595.38,36.46,8.65,52.33,18.0
531.0,604.53,35.96,8.75,56.42,17.25
541.0,633.33,36.12,8.33,39.75,14.25
551.0,661.09,37.3,8.02,38.78,17.25
561.0,655.71,36.36,8.33,44.56,18.75
571.0,650.53,35.58,8.54,53.48,18.75
581.0,651.72,35.84,9.06,54.24,15.75
591.0,701.69,37.74,8.23,44.26,12.75
601.0,708.0,37.15,8.33,49.84,14.25
611.0,696.39,36.7,8.65,51.59,16.5
621.0,690.97,35.61,8.85,55.17,18.0
631.0,702.86,34.28,8.65,47.04,13.5
641.0,742.5,38.29,8.02,43.41,12.75
651.0,747.69,38.19,8.23,52.47,12.75
661.0,736.36,38.26,8.44,58.17,13.5
671.0,730.75,36.75,8.54,60.2,15.0
681.0,751.76,36.27,8.23,45.37,10.5
691.0,766.96,37.59,7.92,37.56,12.75
701.0,766.29,36.9,8.23,39.29,15.75
711.0,760.56,34.16,8.33,42.92,18.0
721.0,765.0,34.01,8.33,45.71,21.0
731.0,784.11,37.36,8.12,46.95,13.5
741.0,792.97,37.43,8.12,47.73,16.5
751.0,796.8,37.58,8.12,56.36,16.5
761.0,795.79,36.39,8.02,62.35,17.25
771.0,799.48,36.51,8.02,60.29,18.0
781.0,821.54,37.33,7.71,49.85,9.0
791.0,843.04,38.36,7.19,51.94,12.0
801.0,841.5,37.99,7.29,56.39,13.5
811.0,840.0,37.49,7.6,55.29,15.75
821.0,842.93,36.68,7.71,54.5,12.0
831.0,863.13,38.59,7.4,38.27,7.5
841.0,874.29,38.3,7.08,33.31,9.75
851.0,872.47,37.47,7.08,38.53,11.25
861.0,862.33,35.89,7.4,41.5,13.5
871.0,868.97,37.9,7.5,41.8,9.75
881.0,875.45,39.18,7.6,44.47,11.25
891.0,869.66,39.06,7.6,51.31,12.0
901.0,864.0,37.26,7.81,51.37,14.25
911.0,862.42,34.64,7.92,50.09,17.25
921.0,876.52,36.83,7.5,40.47,10.5
931.0,890.32,39.97,7.19,47.77,9.75
941.0,880.85,39.8,7.5,52.64,10.5
951.0,879.16,38.62,7.71,57.2,11.25
961.0,870.0,37.77,7.81,52.68,14.25
971.0,890.72,41.15,7.4,38.54,8.25
981.0,888.98,41.03,7.5,49.09,8.25
991.0,883.64,38.33,7.92,44.6,11.25
1001.0,878.4,37.48,8.23,46.06,13.5
1011.0,876.83,36.53,8.33,44.28,13.5
1021.0,889.41,37.07,8.12,32.47,10.5
1031.0,894.76,35.74,8.02,33.56,13.5
1041.0,896.54,35.31,8.02,37.95,15.75
1051.0,891.43,33.25,8.33,38.92,19.5
1061.0,893.21,33.6,8.33,43.58,15.0
1071.0,911.78,38.1,7.81,40.67,13.5
1081.0,906.67,37.6,7.92,48.26,14.25
1091.0,898.35,36.92,8.23,51.09,16.5
1101.0,893.45,35.78,8.44,51.81,19.5
1111.0,898.38,34.65,8.44,45.5,15.0
1121.0,912.86,37.47,8.12,45.05,15.75
1131.0,911.15,35.7,8.23,48.29,18.0
1141.0,903.16,36.33,8.65,55.2,18.75
1151.0,895.3,35.57,8.75,61.12,19.5
1161.0,906.21,36.08,8.44,55.81,10.5
1171.0,923.08,37.46,7.92,49.71,10.5
1181.0,930.51,36.6,7.71,44.0,14.25
1191.0,928.74,36.3,8.02,48.05,15.75
1201.0,921.0,35.3,8.12,48.4,18.75
1211.0,934.21,35.2,8.02,36.45,13.5
1221.0,941.31,38.62,7.81,32.16,11.25
1231.0,948.29,38.7,7.5,42.06,12.0
1241.0,940.65,35.6,7.92,40.67,15.75
1251.0,941.76,33.97,8.12,41.42,17.25
1261.0,948.57,35.86,7.81,34.26,15.75
1271.0,943.94,34.75,7.81,37.32,18.75
1281.0,936.56,35.22,8.12,47.24,18.75
1291.0,929.3,34.19,8.54,53.0,20.25
1301.0,933.23,33.94,8.54,54.63,17.25
1311.0,950.84,37.1,7.92,50.35,10.5
1321.0,957.27,39.13,7.81,60.07,10.5
1331.0,958.2,39.04,7.81,66.93,11.25
1341.0,953.73,37.23,7.81,69.69,12.0
1351.0,957.33,37.4,8.02,50.29,10.5
1361.0,966.18,38.24,7.5,32.25,12.0
1371.0,961.75,37.47,7.81,34.9,15.0
1381.0,954.78,35.25,8.02,39.39,17.25
1391.0,958.27,34.94,8.12,47.21,18.0
1401.0,966.86,37.05,7.71,41.2,10.5
1411.0,977.87,39.63,7.19,49.86,10.5
1421.0,973.52,38.6,7.29,49.24,12.75
1431.0,969.23,35.91,7.6,47.81,15.75
1441.0,962.5,36.31,8.02,54.5,16.5
1451.0,973.24,36.26,7.71,45.53,8.25
1461.0,976.44,38.91,7.6,38.07,9.0
1471.0,982.04,37.01,7.4,40.81,12.0
1481.0,977.84,38.32,7.81,45.72,13.5
1491.0,980.94,37.5,7.81,43.78,13.5
1501.0,991.2,39.15,7.4,37.69,7.5
1511.0,994.17,40.34,7.19,47.42,9.0
1521.0,987.63,41.48,7.71,52.92,9.75
1531.0,981.18,40.09,8.02,51.19,12.0
1541.0,984.16,36.56,7.92,42.1,12.0
1551.0,991.74,38.32,7.4,38.07,9.0
1561.0,999.23,39.12,7.08,46.38,9.75
1571.0,992.87,38.22,7.29,52.21,10.5
1581.0,986.58,37.36,7.5,50.94,12.75
1591.0,991.7,38.84,7.29,43.29,6.75
1601.0,1001.25,41.28,6.88,53.9,7.5
1611.0,999.5,39.56,7.19,56.64,8.25
1621.0,1000.0,40.26,7.19,56.31,9.75
1631.0,993.87,39.11,7.5,57.07,11.25
1641.0,1000.98,36.88,7.19,38.0,9.75
1651.0,1003.64,37.55,7.29,38.25,12.0
1661.0,1004.1,36.74,7.19,40.0,14.25
1671.0,1002.4,35.86,7.4,44.38,15.75
1681.0,996.43,36.1,7.71,50.86,16.5
1691.0,1005.44,39.36,7.29,45.25,9.75
1701.0,1005.88,39.83,7.4,46.88,12.0
1711.0,1004.21,38.13,7.4,50.89,13.5
1721.0,1000.47,37.74,7.81,51.86,15.75
1731.0,1000.92,37.24,8.02,52.19,15.75
1741.0,1007.59,38.84,7.81,52.75,7.5
1751.0,1012.11,40.32,7.71,44.75,6.75
1761.0,1012.5,36.66,7.92,35.73,11.25
1771.0,1008.81,35.39,8.02,40.12,12.75
1781.0,1007.19,34.61,8.23,43.35,11.25
1791.0,1013.63,37.8,8.12,35.47,8.25
1801.0,1016.0,38.49,7.92,41.0,9.75
1811.0,1014.36,37.99,8.12,47.93,10.5
1821.0,1008.79,36.47,8.44,45.56,13.5
1831.0,1011.15,37.59,8.44,38.5,7.5
1841.0,1019.35,41.31,8.23,37.83,9.0
1851.0,1013.84,40.99,8.54,44.31,9.75
1861.0,1008.39,40.14,9.06,47.8,11.25
1871.0,1004.92,38.82,9.17,43.65,15.0
1881.0,1009.15,39.8,8.75,37.12,10.5
1891.0,1009.52,39.29,8.65,36.44,13.5
1901.0,1006.11,37.69,8.85,37.78,17.25
1911.0,1000.84,36.66,8.96,41.63,20.25
1921.0,997.5,35.91,9.17,49.25,21.0
