time,avgFlowRate,avgSpeed,avgDensity,avgWaiting,avgQLength
11.0,0.0,8.58,0.08,0.0,0.0
21.0,0.0,13.13,0.18,0.0,0.0
31.0,0.0,14.82,0.24,0.0,0.0
41.0,0.0,15.88,0.39,0.0,0.0
51.0,0.0,16.11,0.52,0.0,0.0
61.0,0.0,16.13,0.62,0.0,0.0
71.0,0.0,16.09,0.75,0.0,0.0
81.0,0.0,16.04,0.85,0.0,0.0
91.0,0.0,16.02,1.0,0.0,0.0
101.0,0.0,16.09,1.12,0.0,0.0
111.0,0.0,16.16,1.2,0.0,0.0
121.0,0.0,16.23,1.33,0.0,0.0
131.0,0.0,16.16,1.45,0.0,0.0
141.0,0.0,16.21,1.56,0.0,0.0
151.0,0.0,16.24,1.68,0.0,0.0
161.0,0.0,16.17,1.78,0.0,0.0
171.0,0.0,16.22,1.91,0.0,0.0
181.0,2.22,17.29,2.04,0.56,0.08
191.0,8.42,19.39,2.13,3.28,0.5
201.0,24.0,24.94,2.27,3.67,0.58
211.0,28.57,25.05,2.39,6.85,0.92
221.0,36.36,24.66,2.47,9.84,1.75
231.0,43.48,25.48,2.58,14.91,2.33
241.0,45.0,25.24,2.73,20.56,2.58
251.0,51.2,24.81,2.81,22.71,3.08
261.0,84.62,26.38,2.84,27.81,1.17
271.0,109.63,27.75,2.99,27.73,1.58
281.0,122.86,27.89,3.15,29.97,2.0
291.0,121.38,27.7,3.26,33.03,2.33
301.0,125.33,27.97,3.36,36.54,2.67
311.0,129.03,28.51,3.48,40.22,3.25
321.0,153.75,28.13,3.52,37.92,1.92
331.0,184.24,28.94,3.68,36.4,1.67
341.0,194.12,30.24,3.78,37.71,1.83
351.0,189.72,29.92,3.92,37.78,2.5
361.0,191.11,30.37,4.03,39.25,3.17
371.0,189.19,29.87,4.17,43.27,3.83
381.0,198.95,29.66,4.16,40.1,4.17
391.0,245.13,36.84,4.3,40.85,1.67
401.0,269.0,37.48,4.44,40.19,2.17
411.0,284.88,37.26,4.57,41.74,2.83
421.0,282.86,37.05,4.72,44.82,3.17
431.0,294.88,36.58,4.8,47.99,3.58
441.0,305.46,36.04,4.89,49.42,4.58
451.0,350.22,39.45,4.97,50.92,2.25
461.0,373.04,40.95,5.13,46.28,2.42
471.0,400.0,40.24,5.21,40.24,4.0
481.0,400.83,40.91,5.36,39.99,4.83
491.0,402.45,40.15,5.47,43.85,5.75
501.0,409.6,40.18,5.57,47.53,6.67
511.0,433.72,39.65,5.56,51.0,4.0
521.0,469.23,43.73,5.79,55.26,3.17
531.0,483.02,43.6,5.92,51.38,4.0
541.0,484.44,41.89,6.04,51.55,4.92
551.0,486.55,40.89,6.17,52.09,5.92
561.0,490.0,39.69,6.28,53.17,6.92
571.0,498.25,39.14,6.27,54.03,6.17
581.0,534.48,41.8,6.39,55.15,4.58
591.0,544.41,42.6,6.54,55.94,5.75
601.0,542.67,41.25,6.7,55.36,7.42
611.0,540.33,40.5,6.76,56.99,8.75
621.0,538.06,39.89,6.89,59.28,9.5
631.0,532.7,39.13,7.04,61.1,11.0
641.0,580.0,40.97,6.92,63.64,6.17
651.0,604.31,42.57,7.22,66.03,6.17
661.0,616.36,41.48,7.29,62.85,7.83
671.0,625.07,41.0,7.39,63.41,9.08
681.0,624.71,40.01,7.53,65.34,10.58
691.0,625.51,38.87,7.67,65.9,11.83
701.0,647.43,38.22,7.6,64.36,9.5
711.0,675.49,39.8,7.66,68.22,8.17
721.0,690.56,40.62,7.85,70.14,9.25
731.0,689.86,40.72,7.94,71.58,9.92
741.0,688.11,39.96,8.04,73.18,10.75
751.0,684.8,38.72,8.1,75.72,12.08
761.0,695.26,38.69,8.09,74.24,10.25
771.0,729.87,40.39,8.08,69.36,8.08
781.0,741.03,40.53,8.18,69.45,8.92
791.0,741.77,39.12,8.27,69.58,11.08
801.0,738.5,38.15,8.41,71.04,12.58
811.0,733.83,36.86,8.52,70.82,15.08
821.0,732.68,35.65,8.58,73.36,16.42
831.0,777.83,36.93,8.54,76.92,10.5
841.0,802.86,38.34,8.65,79.77,10.33
851.0,812.71,37.36,8.74,80.47,12.75
861.0,813.95,36.79,8.89,82.17,14.75
871.0,812.41,33.63,9.01,83.84,16.58
881.0,808.18,32.69,9.13,86.69,17.92
891.0,834.61,32.7,8.98,84.55,15.0
901.0,860.0,34.68,9.03,85.92,14.08
911.0,877.8,35.79,9.08,88.11,14.92
921.0,885.65,36.47,9.16,90.37,15.0
931.0,884.3,36.26,9.29,92.54,16.0
941.0,887.66,36.09,9.33,95.04,16.67
951.0,901.05,35.81,9.31,93.49,14.0
961.0,932.08,37.61,9.28,96.67,10.33
971.0,954.23,38.29,9.45,97.62,11.75
981.0,951.84,37.89,9.6,98.9,13.42
991.0,947.48,37.38,9.72,100.87,15.33
1001.0,948.4,36.63,9.77,102.09,17.5
1011.0,948.91,35.38,9.81,103.59,18.67
1021.0,978.43,36.33,9.78,104.63,12.58
1031.0,998.45,35.72,9.69,108.23,12.83
1041.0,1008.85,35.88,9.73,108.38,13.92
1051.0,1009.52,35.51,9.85,110.78,15.25
1061.0,1006.79,34.78,9.95,110.98,17.0
1071.0,1003.36,33.99,10.03,112.14,18.83
1081.0,1027.41,35.45,9.88,108.59,14.25
1091.0,1047.34,37.56,9.93,109.25,13.83
1101.0,1054.91,37.79,10.03,111.16,14.08
