epoch,greenTime,reward
1.0,60.0,0.48
2.0,60.0,0.48
3.0,42.22,0.48
4.0,37.78,0.5
5.0,46.67,0.53
6.0,38.11,0.62
7.0,37.33,0.74
8.0,31.78,0.84
9.0,34.44,0.72
10.0,29.33,1.15
11.0,34.89,0.98
12.0,31.11,1.36
13.0,29.11,1.26
14.0,37.0,1.46
15.0,32.22,1.38
16.0,39.11,1.15
17.0,39.67,1.53
18.0,36.22,1.25
19.0,36.78,1.49
20.0,34.44,1.37
21.0,27.56,1.59
22.0,34.44,1.5
23.0,40.33,1.69
24.0,35.11,1.61
25.0,31.11,1.53
26.0,36.78,2.07
27.0,32.44,2.03
28.0,39.0,1.99
29.0,32.67,2.19
30.0,37.0,2.46
31.0,33.44,2.55
32.0,34.0,2.42
33.0,35.44,2.72
34.0,32.56,2.47
35.0,33.67,2.59
36.0,41.0,2.75
37.0,39.44,2.92
38.0,33.11,3.14
39.0,37.56,2.97
40.0,33.33,3.05
41.0,29.67,3.17
42.0,36.33,3.04
43.0,39.44,3.18
44.0,33.33,3.12
45.0,36.67,3.27
46.0,30.78,3.3
47.0,44.44,3.33
48.0,35.78,3.15
49.0,36.33,3.23
50.0,33.44,2.95
51.0,34.78,3.33
52.0,34.89,3.41
53.0,34.67,3.31
54.0,44.67,3.44
55.0,35.78,3.42
56.0,30.0,3.39
57.0,29.89,3.51
58.0,37.44,3.85
59.0,36.89,3.15
60.0,33.89,3.6
61.0,34.22,3.32
62.0,26.56,3.58
63.0,41.22,3.58
64.0,34.44,3.56
65.0,47.56,3.55
66.0,42.56,3.91
67.0,35.22,3.65
68.0,35.44,3.77
69.0,27.67,3.54
70.0,36.33,3.79
71.0,34.11,3.77
72.0,33.33,3.45
73.0,39.0,3.89
74.0,38.89,3.61
75.0,32.0,3.94
76.0,40.33,3.46
77.0,38.56,3.99
78.0,35.78,3.38
79.0,34.89,3.6
80.0,26.89,3.73
81.0,35.78,3.64
82.0,43.67,3.59
83.0,32.67,3.98
84.0,36.67,3.89
85.0,34.11,3.56
86.0,39.67,3.89
87.0,44.56,3.94
88.0,35.0,3.59
89.0,47.33,4.02
90.0,40.11,4.05
91.0,47.11,3.75
92.0,48.78,3.87
93.0,38.67,3.71
94.0,37.11,4.11
95.0,35.22,3.66
96.0,35.11,3.91
97.0,38.22,3.69
98.0,29.22,4.06
99.0,45.11,4.07
100.0,34.22,3.85
101.0,35.33,3.91
102.0,40.22,3.94
103.0,37.44,3.84
104.0,42.67,3.98
105.0,38.33,3.81
106.0,34.67,3.92
107.0,29.67,3.9
108.0,38.78,3.86
109.0,40.78,3.9
110.0,44.0,4.04
111.0,44.11,3.97
112.0,41.67,4.0
113.0,41.56,3.91
114.0,46.89,4.03
115.0,46.67,4.14
116.0,39.33,3.93
117.0,36.89,4.2
118.0,42.44,3.76
119.0,39.0,4.17
120.0,40.22,3.98
121.0,47.22,4.05
122.0,35.0,3.91
123.0,38.22,3.96
124.0,36.78,4.05
125.0,46.22,4.17
126.0,42.33,3.9
127.0,42.56,4.28
128.0,44.56,3.77
129.0,33.67,4.2
130.0,35.67,4.13
131.0,29.44,3.73
132.0,24.67,4.11
133.0,45.78,3.94
134.0,32.44,4.11
135.0,33.44,4.04
136.0,43.56,4.03
137.0,32.0,4.04
138.0,47.89,4.06
139.0,34.44,4.04
140.0,48.11,4.13
141.0,35.44,4.01
142.0,32.22,4.09
143.0,33.33,3.98
144.0,37.11,4.05
145.0,42.11,3.99
146.0,28.89,4.09
147.0,36.89,4.11
148.0,33.33,3.94
149.0,30.11,4.0
150.0,33.56,4.12
151.0,27.78,3.84
152.0,41.78,4.22
153.0,46.11,4.02
154.0,29.33,4.17
155.0,44.11,3.97
156.0,43.33,4.14
157.0,41.0,4.04
158.0,37.78,4.23
159.0,36.67,4.01
160.0,34.67,4.07
161.0,43.56,4.06
162.0,25.0,4.05
163.0,33.0,4.15
164.0,41.44,3.97
165.0,33.78,4.19
166.0,39.44,4.05
167.0,46.67,3.99
168.0,35.78,4.16
169.0,40.67,4.09
170.0,34.11,3.86
171.0,38.44,3.98
172.0,40.33,4.17
173.0,43.56,4.15
174.0,39.22,4.06
175.0,37.11,4.01
176.0,31.22,4.15
177.0,43.22,3.86
178.0,33.44,4.43
179.0,38.33,4.0
180.0,47.44,4.1
181.0,33.78,4.08
182.0,32.22,4.08
183.0,35.89,4.1
184.0,34.44,4.05
185.0,37.89,3.82
186.0,45.11,4.4
187.0,38.56,3.91
188.0,34.56,4.1
189.0,35.33,4.12
190.0,44.11,4.09
191.0,40.22,3.95
192.0,38.44,4.04
193.0,35.11,4.09
194.0,44.78,4.13
195.0,43.0,4.06
196.0,34.56,4.15
197.0,43.89,4.18
198.0,36.11,3.99
199.0,38.56,4.26
200.0,42.22,3.88
201.0,40.22,4.15
202.0,42.56,4.02
203.0,37.33,4.21
204.0,45.78,3.97
205.0,37.67,4.28
206.0,35.22,3.88
207.0,38.67,4.17
208.0,37.22,4.04
209.0,37.11,3.9
210.0,37.44,4.07
211.0,44.44,4.08
212.0,38.67,4.09
213.0,36.0,3.96
214.0,39.89,4.2
215.0,38.0,4.19
216.0,46.0,4.18
217.0,43.0,4.07
218.0,48.33,4.16
219.0,36.22,3.98
220.0,33.0,4.19
221.0,42.89,3.93
222.0,36.78,3.91
223.0,43.0,4.02
224.0,35.0,3.96
225.0,35.56,4.06
226.0,28.11,4.29
227.0,37.78,4.09
228.0,33.56,3.99
229.0,33.44,4.08
230.0,38.67,4.24
231.0,35.89,3.88
232.0,31.33,3.85
233.0,37.0,3.8
234.0,38.11,4.09
235.0,31.0,3.9
236.0,36.0,3.87
237.0,40.33,3.99
238.0,37.0,3.86
239.0,36.22,4.02
