epoch,greenTime,reward
1.0,60.0,0.48
2.0,60.0,0.48
3.0,42.22,0.48
4.0,51.11,0.48
5.0,46.78,0.56
6.0,45.78,0.61
7.0,25.56,0.67
8.0,23.78,0.66
9.0,41.56,0.77
10.0,42.11,0.79
11.0,34.56,1.02
12.0,36.22,1.07
13.0,33.56,1.18
14.0,38.67,0.77
15.0,34.67,1.17
16.0,32.78,0.78
17.0,26.78,1.11
18.0,37.22,0.99
19.0,33.22,1.03
20.0,31.67,0.98
21.0,40.56,0.98
22.0,34.11,1.12
23.0,43.0,1.15
24.0,35.89,1.21
25.0,37.67,1.13
26.0,36.22,1.24
27.0,34.67,1.28
28.0,38.67,1.48
29.0,33.78,1.55
30.0,47.89,1.61
31.0,27.89,1.73
32.0,33.44,1.74
33.0,41.44,1.56
34.0,36.44,1.97
35.0,44.11,1.58
36.0,37.33,1.86
37.0,47.22,1.83
38.0,34.78,1.95
39.0,30.22,1.71
40.0,35.56,2.08
41.0,32.67,1.85
42.0,42.0,2.21
43.0,44.56,1.95
44.0,25.89,1.91
45.0,33.11,2.19
46.0,38.0,1.92
47.0,35.22,2.22
48.0,37.78,2.47
49.0,32.56,2.26
50.0,42.78,2.12
51.0,50.0,2.36
52.0,34.89,2.16
53.0,23.33,2.31
54.0,38.78,2.34
55.0,25.0,2.17
56.0,34.44,2.26
57.0,36.0,2.55
58.0,35.11,2.68
59.0,41.11,2.56
60.0,42.89,2.58
61.0,31.67,2.57
62.0,36.0,2.37
63.0,30.44,2.69
64.0,38.56,2.88
65.0,35.11,2.75
66.0,37.56,2.48
67.0,38.33,2.83
68.0,31.56,2.56
69.0,28.0,2.79
70.0,36.11,2.75
71.0,35.44,2.57
72.0,37.56,2.69
73.0,29.22,2.19
74.0,38.33,3.03
75.0,35.56,2.81
76.0,32.33,2.44
77.0,37.33,2.68
78.0,35.67,2.85
79.0,44.44,2.59
80.0,31.44,2.89
81.0,30.22,2.58
82.0,34.33,2.7
83.0,35.0,2.67
84.0,38.67,2.48
85.0,44.56,3.27
86.0,32.78,2.6
87.0,42.11,2.75
88.0,39.89,3.02
89.0,31.22,2.89
90.0,34.11,2.42
91.0,44.11,3.23
92.0,39.44,2.67
93.0,35.89,3.05
94.0,36.22,2.85
95.0,33.11,2.88
96.0,28.0,2.67
97.0,34.89,2.76
98.0,38.33,3.09
99.0,29.67,2.67
100.0,36.22,3.13
101.0,31.22,2.82
102.0,38.33,2.94
103.0,32.56,2.95
104.0,42.0,2.78
105.0,31.33,2.76
106.0,32.67,2.95
107.0,30.44,3.04
108.0,43.67,2.92
109.0,39.78,3.03
110.0,21.44,3.0
111.0,31.56,3.11
112.0,41.78,2.99
113.0,30.11,2.9
114.0,39.78,3.22
115.0,40.67,3.21
116.0,30.0,2.77
117.0,30.33,3.15
118.0,38.22,3.09
119.0,37.33,3.08
120.0,36.78,3.25
121.0,36.56,3.18
122.0,27.56,3.15
123.0,37.11,3.19
124.0,31.22,2.97
125.0,48.56,3.04
126.0,43.67,3.41
127.0,30.11,3.07
128.0,43.44,3.32
129.0,42.78,3.41
130.0,37.89,2.77
131.0,39.67,3.22
132.0,38.0,2.87
133.0,37.44,3.18
134.0,46.67,3.24
135.0,40.0,3.02
136.0,33.78,3.3
137.0,39.0,2.91
138.0,38.44,3.37
139.0,36.89,3.08
140.0,40.56,3.15
141.0,41.0,3.1
142.0,52.11,3.34
143.0,36.89,3.41
144.0,34.89,3.21
145.0,49.33,3.12
146.0,39.22,3.48
147.0,35.11,3.01
148.0,42.22,3.12
149.0,39.56,3.25
150.0,36.67,3.47
151.0,36.33,2.89
152.0,29.89,3.27
153.0,42.78,3.21
154.0,47.56,3.36
155.0,28.0,3.03
156.0,35.56,3.18
157.0,28.89,3.01
158.0,40.33,3.24
159.0,42.22,3.13
160.0,37.11,3.57
161.0,39.89,2.98
162.0,34.67,3.42
163.0,32.67,2.98
164.0,39.22,3.16
165.0,36.89,3.49
166.0,36.89,3.01
167.0,44.89,3.4
168.0,31.33,3.17
169.0,37.33,3.3
170.0,34.56,3.15
171.0,29.33,3.18
172.0,35.33,3.38
173.0,49.56,3.39
174.0,43.67,3.28
175.0,25.0,2.99
176.0,38.89,3.39
177.0,38.44,3.07
178.0,33.33,3.23
179.0,31.22,3.18
180.0,31.44,3.1
181.0,43.56,3.11
182.0,55.78,3.38
183.0,30.67,3.19
184.0,47.67,3.26
185.0,33.11,3.77
186.0,38.89,3.46
187.0,48.11,3.51
188.0,37.67,2.88
189.0,37.78,3.44
190.0,42.11,3.04
191.0,52.33,3.7
192.0,37.78,3.16
193.0,41.78,3.37
194.0,43.44,3.62
195.0,33.56,3.1
196.0,33.22,3.61
197.0,36.56,3.28
198.0,45.89,3.37
199.0,37.78,3.56
200.0,33.56,3.11
201.0,49.78,3.63
202.0,51.11,3.27
203.0,36.89,3.61
204.0,27.56,3.0
205.0,42.22,3.46
206.0,35.89,3.29
207.0,40.22,3.58
208.0,39.33,3.13
209.0,39.33,3.5
210.0,39.78,3.47
211.0,28.44,3.53
212.0,35.78,3.0
213.0,47.11,3.38
214.0,39.67,3.57
215.0,33.44,3.36
216.0,38.11,2.87
217.0,33.0,3.74
218.0,45.22,3.43
219.0,36.67,3.4
220.0,34.56,3.61
221.0,36.22,2.99
222.0,41.11,3.49
223.0,31.0,3.09
224.0,35.78,3.21
225.0,33.78,3.55
226.0,32.67,3.37
227.0,49.33,3.31
228.0,39.89,3.68
229.0,37.22,3.28
230.0,29.33,3.08
231.0,46.67,3.47
232.0,33.33,3.61
233.0,41.67,3.12
234.0,32.78,3.45
235.0,49.67,3.48
236.0,37.33,3.13
237.0,41.44,3.4
238.0,30.89,3.37
239.0,42.78,3.56
