time,avgFlowRate,avgSpeed,avgDensity,avgWaiting,avgQLength
11.0,0.0,6.56,0.08,0.0,0.0
21.0,0.0,11.9,0.21,0.0,0.0
31.0,0.0,14.31,0.36,0.0,0.0
41.0,0.0,14.7,0.5,0.0,0.0
51.0,0.0,14.79,0.64,0.0,0.0
61.0,0.0,14.79,0.76,0.0,0.0
71.0,0.0,16.09,0.93,0.0,0.0
81.0,0.0,15.97,1.08,0.0,0.0
91.0,0.0,16.15,1.19,0.0,0.0
101.0,0.0,16.07,1.38,0.0,0.0
111.0,0.0,16.0,1.54,0.0,0.0
121.0,0.0,16.22,1.64,0.0,0.0
131.0,0.0,16.17,1.78,0.0,0.0
141.0,0.0,16.15,1.95,0.0,0.0
151.0,0.0,16.23,2.1,0.0,0.0
161.0,0.0,16.08,2.22,0.0,0.0
171.0,0.0,16.11,2.4,0.0,0.0
181.0,2.22,17.25,2.51,0.67,0.17
191.0,4.21,18.04,2.66,3.58,1.0
201.0,18.0,20.99,2.8,7.96,0.92
211.0,22.86,20.59,2.92,10.39,1.42
221.0,29.09,21.28,3.09,13.95,2.42
231.0,36.52,20.91,3.23,16.54,2.92
241.0,45.0,20.62,3.38,22.13,3.25
251.0,51.2,21.22,3.53,26.24,3.92
261.0,83.08,25.8,3.61,26.91,3.75
271.0,115.55,26.34,3.77,29.57,4.5
281.0,117.14,25.85,3.91,31.23,5.42
291.0,120.0,25.64,4.06,35.05,6.25
301.0,120.0,25.26,4.22,38.87,7.0
311.0,123.87,24.99,4.36,43.31,7.67
321.0,136.25,24.98,4.44,46.07,7.0
331.0,161.21,28.06,4.62,52.57,5.92
341.0,181.18,28.52,4.76,53.08,6.17
351.0,185.14,28.14,4.9,53.57,7.33
361.0,191.11,25.82,5.0,55.5,8.5
371.0,185.95,25.71,5.22,59.55,9.17
381.0,188.42,25.34,5.3,60.93,9.83
391.0,214.36,27.62,5.47,61.7,8.67
401.0,232.0,27.46,5.62,59.9,8.33
411.0,248.78,27.24,5.76,59.37,9.33
421.0,259.05,26.7,5.92,59.6,10.67
431.0,255.81,25.83,6.08,61.43,12.08
441.0,252.73,24.78,6.18,65.3,13.17
451.0,294.22,28.76,6.24,66.92,9.92
461.0,326.96,30.87,6.44,66.27,9.42
471.0,345.53,30.72,6.56,65.61,9.5
481.0,356.67,30.35,6.73,65.18,10.75
491.0,355.1,29.36,6.88,66.73,12.42
501.0,356.8,28.62,7.0,69.12,14.08
511.0,380.39,28.31,7.0,68.32,12.5
521.0,410.0,32.04,7.27,71.2,10.17
531.0,433.96,32.55,7.37,70.4,10.5
541.0,448.15,32.57,7.53,70.35,11.25
551.0,451.64,32.31,7.74,71.98,12.25
561.0,455.0,32.75,7.86,72.74,13.75
571.0,458.95,32.61,7.91,72.25,14.33
581.0,479.31,37.62,8.09,77.14,12.58
591.0,496.95,38.36,8.25,77.33,14.0
601.0,502.0,38.61,8.39,79.96,15.08
611.0,499.02,36.82,8.53,81.57,16.83
621.0,492.9,35.74,8.69,82.93,19.0
631.0,486.35,34.38,8.84,86.79,20.83
641.0,513.75,33.95,8.9,87.73,17.75
651.0,540.92,35.81,9.06,88.65,15.67
661.0,561.21,35.85,9.21,87.71,15.58
671.0,579.1,35.05,9.33,87.92,17.67
681.0,587.65,34.47,9.51,89.39,19.58
691.0,598.26,33.87,9.64,92.47,20.75
701.0,626.29,33.58,9.68,92.8,17.92
711.0,659.16,35.13,9.75,95.8,14.58
721.0,680.56,35.53,9.92,96.17,15.0
731.0,692.06,36.56,10.06,99.33,16.83
741.0,695.13,35.38,10.21,102.8,19.0
751.0,693.87,33.88,10.39,106.17,21.0
761.0,704.74,33.14,10.42,105.79,19.67
771.0,740.26,36.04,10.44,111.56,16.25
781.0,756.41,36.2,10.56,110.38,16.67
791.0,765.06,35.62,10.75,110.53,17.58
801.0,768.0,35.42,10.91,111.94,19.17
811.0,771.85,34.73,11.03,113.06,21.42
821.0,772.68,33.65,11.22,115.21,23.17
831.0,811.08,35.86,11.14,115.34,19.83
841.0,828.1,37.63,11.24,118.16,19.5
851.0,832.47,37.18,11.43,119.84,20.42
861.0,834.88,35.95,11.54,119.94,23.33
871.0,833.1,34.83,11.66,122.71,26.5
881.0,836.82,34.09,11.81,125.87,28.92
891.0,863.82,33.42,11.69,122.36,27.0
901.0,891.11,35.1,11.83,122.76,25.58
911.0,907.25,35.37,11.94,123.71,24.67
921.0,916.52,35.06,12.11,125.83,26.33
931.0,922.58,34.16,12.26,127.92,28.33
941.0,928.09,32.48,12.36,130.98,30.92
951.0,944.42,31.79,12.34,130.1,29.42
961.0,974.17,33.62,12.46,128.0,26.42
971.0,995.46,35.1,12.51,129.98,25.58
981.0,1005.31,34.67,12.64,130.94,27.42
991.0,1004.85,33.68,12.84,132.97,29.92
1001.0,1006.4,32.77,12.94,135.58,32.25
1011.0,1005.15,31.9,12.99,137.24,33.5
1021.0,1031.77,32.69,13.0,138.72,27.0
1031.0,1057.86,34.62,13.06,140.04,25.67
1041.0,1072.69,34.71,13.17,142.69,26.42
