time,avgFlowRate,avgSpeed,avgDensity,avgWaiting,avgQLength
11.0,0.0,7.34,0.09,0.0,0.0
21.0,0.0,14.87,0.24,0.0,0.0
31.0,0.0,16.04,0.46,0.0,0.0
41.0,0.0,15.98,0.67,0.0,0.0
51.0,0.0,16.08,0.81,0.0,0.0
61.0,0.0,16.01,1.08,0.0,0.0
71.0,0.0,16.01,1.25,0.0,0.0
81.0,0.0,16.1,1.43,0.0,0.0
91.0,0.0,16.21,1.62,0.0,0.0
101.0,0.0,16.23,1.82,0.0,0.0
111.0,0.0,16.2,2.03,0.0,0.0
121.0,0.0,16.18,2.2,0.0,0.0
131.0,0.0,16.24,2.39,0.0,0.0
141.0,0.0,16.2,2.56,0.0,0.0
151.0,0.0,16.24,2.78,0.0,0.0
161.0,0.0,16.25,2.99,0.0,0.0
171.0,2.35,17.2,3.13,0.0,0.0
181.0,11.11,18.78,3.33,1.56,0.42
191.0,12.63,21.24,3.52,5.22,0.75
201.0,62.0,28.09,3.77,6.28,0.08
211.0,78.09,28.52,3.96,6.85,0.5
221.0,85.45,28.25,4.09,8.43,1.08
231.0,104.35,28.46,4.23,10.37,1.67
241.0,126.67,28.42,4.48,12.86,2.58
251.0,137.6,28.02,4.66,16.0,3.5
261.0,196.92,29.83,4.71,17.68,1.5
271.0,265.19,31.2,4.99,14.09,1.5
281.0,290.0,31.05,5.22,14.93,2.25
291.0,299.31,30.89,5.38,18.22,2.75
301.0,304.0,30.72,5.59,21.3,2.92
311.0,312.26,30.22,5.79,22.72,4.17
321.0,338.75,30.05,5.91,21.66,3.5
331.0,375.76,30.49,6.07,21.24,1.25
341.0,400.0,31.02,6.27,19.4,1.42
351.0,410.29,30.89,6.51,19.43,2.42
361.0,408.89,29.91,6.75,20.7,3.5
371.0,410.81,30.75,6.92,23.53,5.25
381.0,422.1,31.7,7.05,26.25,5.75
391.0,471.79,34.71,7.2,24.46,3.0
401.0,497.0,35.38,7.39,24.77,2.92
411.0,523.9,36.04,7.6,24.77,4.5
421.0,535.24,35.71,7.86,27.81,5.42
431.0,542.33,35.13,8.02,30.96,6.33
441.0,547.27,33.97,8.21,32.36,8.25
451.0,600.0,40.43,8.3,33.99,4.33
461.0,637.39,42.74,8.56,34.63,3.83
471.0,651.92,42.44,8.73,35.06,6.0
481.0,659.17,41.59,8.94,36.41,7.58
491.0,654.69,41.0,9.15,36.45,9.92
501.0,647.2,40.46,9.35,37.55,11.17
511.0,669.8,39.68,9.36,36.53,8.5
521.0,715.38,42.15,9.61,36.13,7.25
531.0,744.15,42.91,9.88,37.75,8.5
541.0,748.15,42.22,10.06,39.14,9.5
551.0,757.09,41.45,10.2,40.59,10.92
561.0,763.57,40.28,10.41,42.2,13.0
571.0,771.93,39.66,10.56,42.05,13.33
