time,avgFlowRate,avgSpeed,avgDensity,avgWaiting,avgQLength
11.0,0.0,7.34,0.09,0.0,0.0
21.0,0.0,14.87,0.24,0.0,0.0
31.0,0.0,16.04,0.46,0.0,0.0
41.0,0.0,15.98,0.67,0.0,0.0
51.0,0.0,16.08,0.81,0.0,0.0
61.0,0.0,16.01,1.08,0.0,0.0
71.0,0.0,16.01,1.25,0.0,0.0
81.0,0.0,16.1,1.43,0.0,0.0
91.0,0.0,16.21,1.62,0.0,0.0
101.0,0.0,16.23,1.82,0.0,0.0
111.0,0.0,16.2,2.03,0.0,0.0
121.0,0.0,16.18,2.2,0.0,0.0
131.0,0.0,16.24,2.39,0.0,0.0
141.0,0.0,16.2,2.56,0.0,0.0
151.0,0.0,16.24,2.78,0.0,0.0
161.0,0.0,16.25,2.99,0.0,0.0
171.0,0.0,16.14,3.13,0.0,0.0
181.0,8.89,17.23,3.33,2.0,0.5
191.0,8.42,18.21,3.52,5.41,0.92
201.0,18.0,22.21,3.77,9.77,1.33
211.0,19.05,21.79,3.98,12.5,2.25
221.0,34.55,21.42,4.1,17.76,2.83
231.0,38.26,21.4,4.29,18.48,4.08
241.0,41.67,21.25,4.51,18.48,5.75
251.0,46.4,20.7,4.67,21.87,7.25
261.0,75.39,24.12,4.79,40.21,6.42
271.0,105.19,24.93,5.0,32.33,7.25
281.0,115.71,24.67,5.25,33.37,8.25
291.0,122.76,24.53,5.43,36.49,9.25
301.0,120.0,24.34,5.62,40.33,10.17
311.0,123.87,23.79,5.84,42.44,11.75
321.0,137.5,23.26,5.98,45.06,11.5
331.0,166.06,26.05,6.17,52.24,9.17
341.0,185.88,25.91,6.35,52.75,9.17
351.0,206.86,26.2,6.55,56.08,9.75
361.0,224.44,26.2,6.77,59.06,10.75
371.0,231.35,25.66,6.95,61.54,12.0
381.0,237.9,25.54,7.1,62.36,13.17
391.0,268.72,27.75,7.28,63.23,12.08
401.0,284.0,27.82,7.44,64.42,11.08
411.0,303.42,27.32,7.68,61.33,11.75
421.0,319.05,26.79,7.91,61.71,13.17
431.0,329.3,25.66,8.05,62.75,14.83
441.0,336.37,24.89,8.27,66.06,16.08
451.0,376.89,29.75,8.4,67.92,13.92
461.0,405.22,31.89,8.63,68.56,13.83
471.0,417.02,31.42,8.79,67.21,13.83
481.0,428.33,31.27,9.01,66.59,14.5
491.0,442.45,31.03,9.18,68.59,15.5
501.0,452.0,30.52,9.36,71.51,17.17
511.0,478.43,31.27,9.44,70.89,16.67
521.0,506.92,33.38,9.71,74.0,15.17
531.0,530.57,33.98,9.9,75.8,15.58
541.0,542.96,33.73,10.09,75.79,17.58
551.0,547.64,33.04,10.29,76.06,19.83
561.0,545.71,32.4,10.49,77.36,21.83
571.0,549.47,30.75,10.65,78.25,23.25
