Epoch,Avg_Q
1.0,-0.03492375
2.0,-0.09003125000000001
3.0,-0.15449000000000002
4.0,-0.22024125
5.0,-0.23443375
6.0,-0.3042925
7.0,-0.31405375
8.0,-0.38894125
9.0,-0.4647275
10.0,-0.4646475000000001
11.0,-0.46220625
12.0,-0.5385925
13.0,-0.54552
14.0,-0.54745125
15.0,-0.6219825
16.0,-0.6171687499999999
17.0,-0.61535875
18.0,-0.6192887499999999
19.0,-0.61365125
20,-0.6792787499999999
