Epoch,Reward
1.0,5.2060968371764735
2.0,3.591351416134203
3.0,2.7413271116293707
4.0,2.4051927681531757
5.0,2.5014531815917964
6.0,2.00871016661627
7.0,2.1139712252177647
8.0,2.3395398007116306
9.0,2.0364891701433407
10.0,1.9126372920562504
11.0,1.8531144641465105
12.0,1.9127847530578643
13.0,1.8937466819577289
14.0,2.2640985462917538
15.0,1.811405736850325
16.0,1.5765609069697482
17.0,2.331758075064492
18.0,2.9248690015678847
19.0,2.9615161671287047
20.0,3.1364056250503682
21,4.337191599694393
