epoch,greenTime,reward
1.0,60.0,0.48
2.0,60.0,0.48
3.0,30.0,0.48
4.0,40.0,0.5
5.0,44.25,0.61
6.0,55.25,0.73
7.0,25.75,0.82
8.0,31.25,0.94
9.0,39.25,0.98
10.0,39.25,1.11
11.0,41.75,1.07
12.0,48.75,1.01
13.0,54.75,0.98
14.0,41.0,1.04
15.0,55.25,1.18
16.0,47.5,1.37
17.0,47.0,1.54
18.0,30.75,1.71
19.0,47.75,1.76
20.0,34.75,1.98
21.0,36.75,2.2
22.0,25.5,2.28
23.0,43.25,2.65
24.0,33.5,2.62
25.0,34.0,2.73
26.0,44.5,2.9
27.0,37.0,2.84
28.0,37.75,2.93
29.0,39.25,2.95
30.0,35.75,2.99
31.0,34.25,3.04
32.0,35.75,3.17
33.0,45.25,3.15
34.0,39.75,3.22
35.0,46.75,3.26
36.0,41.25,3.24
37.0,44.0,3.26
38.0,43.25,3.29
39.0,47.25,3.29
40.0,35.25,3.32
41.0,36.25,3.36
42.0,43.0,3.38
43.0,38.5,3.33
44.0,29.75,3.46
45.0,28.0,3.49
46.0,37.75,3.42
47.0,43.75,3.54
48.0,43.0,3.55
49.0,38.75,3.61
50.0,42.75,3.66
51.0,56.0,3.68
52.0,50.5,3.72
53.0,40.75,3.71
54.0,37.5,3.76
55.0,31.5,3.76
56.0,35.0,3.79
57.0,49.0,3.78
58.0,46.5,3.79
59.0,42.25,3.83
60.0,50.75,3.86
61.0,43.5,3.89
62.0,32.75,3.91
63.0,30.25,3.92
64.0,38.0,4.01
65.0,30.75,3.95
66.0,30.75,3.92
67.0,42.75,3.98
68.0,30.75,3.93
69.0,40.0,3.95
70.0,32.0,3.85
71.0,40.0,4.0
72.0,34.0,3.95
73.0,35.0,3.94
74.0,36.0,3.92
75.0,41.75,4.02
76.0,47.25,3.94
77.0,58.5,4.0
78.0,48.5,4.01
79.0,44.75,4.01
80.0,46.25,4.02
81.0,42.0,4.03
82.0,42.0,4.07
83.0,37.5,4.05
84.0,41.0,4.06
85.0,31.0,4.07
86.0,35.25,4.07
87.0,36.0,4.07
88.0,46.5,4.13
89.0,33.0,4.06
90.0,38.25,4.08
91.0,49.5,4.09
92.0,44.75,4.14
93.0,49.25,4.09
94.0,40.0,4.17
95.0,52.75,4.11
96.0,36.0,4.18
97.0,31.25,4.16
98.0,31.75,4.17
99.0,35.75,4.19
100.0,44.0,4.17
101.0,51.75,4.16
102.0,40.75,4.16
103.0,45.25,4.15
104.0,42.25,4.16
105.0,36.75,4.16
106.0,50.0,4.17
107.0,51.75,4.18
108.0,42.5,4.2
109.0,45.5,4.16
110.0,42.75,4.22
111.0,60.0,4.18
112.0,46.5,4.18
113.0,39.25,4.18
114.0,51.5,4.19
115.0,50.0,4.23
116.0,45.0,4.25
117.0,41.75,4.27
118.0,41.75,4.27
119.0,50.0,4.27
120.0,49.75,4.26
121.0,54.25,4.26
122.0,40.5,4.25
123.0,33.5,4.25
124.0,32.5,4.27
125.0,32.0,4.23
126.0,33.5,4.25
127.0,49.25,4.21
128.0,52.25,4.25
129.0,44.0,4.27
130.0,55.25,4.26
131.0,39.5,4.26
132.0,44.75,4.26
133.0,36.5,4.26
134.0,34.75,4.26
135.0,52.5,4.24
136.0,50.5,4.27
137.0,40.0,4.28
138.0,52.0,4.29
139.0,27.25,4.27
140.0,42.0,4.3
141.0,38.25,4.3
142.0,51.75,4.31
143.0,43.5,4.28
144.0,29.75,4.29
145.0,33.75,4.29
146.0,40.75,4.33
147.0,54.5,4.29
148.0,35.25,4.29
149.0,28.75,4.3
150.0,30.5,4.33
151.0,35.25,4.29
152.0,40.25,4.31
153.0,36.25,4.35
154.0,28.0,4.34
155.0,36.75,4.33
156.0,43.0,4.33
157.0,29.0,4.34
158.0,29.75,4.36
159.0,35.75,4.33
160.0,36.25,4.38
161.0,43.0,4.35
162.0,31.0,4.36
163.0,35.75,4.34
164.0,52.25,4.36
165.0,47.75,4.37
166.0,43.25,4.39
167.0,40.75,4.34
168.0,38.0,4.37
169.0,44.0,4.35
170.0,29.25,4.36
171.0,32.25,4.37
172.0,47.5,4.36
173.0,41.0,4.36
174.0,44.75,4.33
175.0,46.75,4.36
176.0,40.0,4.36
177.0,51.0,4.37
178.0,33.25,4.33
179.0,39.5,4.37
180.0,29.75,4.34
181.0,40.75,4.36
182.0,44.5,4.33
183.0,36.75,4.37
184.0,48.5,4.37
185.0,39.0,4.37
186.0,39.25,4.36
187.0,44.0,4.38
188.0,41.75,4.36
189.0,41.25,4.36
190.0,40.0,4.35
191.0,40.0,4.37
192.0,30.25,4.35
193.0,37.5,4.36
194.0,49.5,4.35
195.0,33.0,4.36
196.0,47.0,4.36
197.0,43.0,4.33
198.0,50.75,4.36
199.0,41.25,4.37
200.0,42.25,4.35
201.0,52.25,4.39
202.0,27.0,4.35
203.0,38.25,4.36
204.0,40.75,4.4
205.0,44.25,4.37
206.0,53.25,4.38
207.0,41.75,4.4
208.0,48.25,4.37
209.0,40.0,4.38
210.0,37.0,4.38
211.0,36.0,4.39
212.0,53.75,4.39
213.0,36.5,4.38
214.0,51.75,4.4
215.0,40.5,4.39
216.0,53.0,4.38
217.0,39.25,4.38
218.0,37.5,4.37
219.0,45.0,4.39
220.0,34.5,4.36
221.0,40.5,4.39
222.0,48.0,4.37
223.0,58.0,4.38
224.0,51.75,4.38
225.0,39.5,4.38
226.0,38.0,4.37
227.0,38.5,4.37
228.0,41.25,4.38
229.0,39.25,4.37
230.0,39.0,4.37
231.0,43.0,4.39
232.0,38.0,4.37
233.0,33.25,4.38
234.0,33.5,4.39
235.0,34.75,4.39
236.0,39.5,4.38
237.0,34.25,4.38
238.0,42.75,4.37
239.0,47.0,4.39
