epoch,greenTime,reward
1.0,60.0,0.48
2.0,60.0,0.48
3.0,40.0,0.48
4.0,40.0,0.49
5.0,54.75,0.62
6.0,44.0,0.86
7.0,50.0,0.99
8.0,30.0,1.16
9.0,31.25,1.2
10.0,32.25,1.43
11.0,45.0,1.49
12.0,55.0,1.58
13.0,36.5,1.7
14.0,50.75,1.68
15.0,43.25,1.78
16.0,48.5,2.07
17.0,54.5,2.11
18.0,51.5,2.35
19.0,55.25,2.53
20.0,53.25,2.7
21.0,55.75,2.88
22.0,40.25,3.0
23.0,35.75,3.23
24.0,39.0,2.96
25.0,57.25,3.28
26.0,40.5,3.34
27.0,32.75,3.52
28.0,51.5,3.32
29.0,42.0,3.53
30.0,48.25,3.62
31.0,43.75,3.78
32.0,39.25,3.7
33.0,47.0,3.79
34.0,58.5,3.82
35.0,49.5,3.97
36.0,52.5,3.98
37.0,37.75,4.03
38.0,34.5,4.01
39.0,42.5,4.19
40.0,51.75,4.12
41.0,35.5,4.17
42.0,48.5,4.22
43.0,43.5,4.37
44.0,45.75,4.26
45.0,31.5,4.28
46.0,60.0,4.29
47.0,48.5,4.43
48.0,52.0,4.34
49.0,41.75,4.36
50.0,51.5,4.35
51.0,43.75,4.43
52.0,53.5,4.54
53.0,47.5,4.41
54.0,43.75,4.41
55.0,51.75,4.37
56.0,41.25,4.47
57.0,52.25,4.56
58.0,49.0,4.46
59.0,54.75,4.49
60.0,46.25,4.51
61.0,45.0,4.53
62.0,45.5,4.59
63.0,40.0,4.66
64.0,56.75,4.55
65.0,47.0,4.54
66.0,28.75,4.59
67.0,48.5,4.65
68.0,43.25,4.58
69.0,40.0,4.62
70.0,45.0,4.56
71.0,52.75,4.57
72.0,53.75,4.67
73.0,50.0,4.55
74.0,45.75,4.58
75.0,41.0,4.66
76.0,47.5,4.7
77.0,56.5,4.61
78.0,42.5,4.62
79.0,34.0,4.67
80.0,50.5,4.7
81.0,56.0,4.62
82.0,49.5,4.62
83.0,45.25,4.62
84.0,54.25,4.63
85.0,50.75,4.62
86.0,41.25,4.74
87.0,43.25,4.63
88.0,49.0,4.65
89.0,40.25,4.68
90.0,34.5,4.69
91.0,43.5,4.64
92.0,41.25,4.7
93.0,54.0,4.64
94.0,33.75,4.69
95.0,51.25,4.62
96.0,53.0,4.66
97.0,33.25,4.68
98.0,37.0,4.7
99.0,51.5,4.66
100.0,52.75,4.62
101.0,43.75,4.63
102.0,53.5,4.67
103.0,35.75,4.68
104.0,44.0,4.65
105.0,60.0,4.65
106.0,45.75,4.65
107.0,41.25,4.7
108.0,53.25,4.66
109.0,44.75,4.7
110.0,37.25,4.7
111.0,31.75,4.69
112.0,60.0,4.69
113.0,42.5,4.7
114.0,35.25,4.73
115.0,41.75,4.7
116.0,52.0,4.7
117.0,45.5,4.7
118.0,36.25,4.74
119.0,45.0,4.71
120.0,50.0,4.71
121.0,45.25,4.71
122.0,45.5,4.73
123.0,41.75,4.71
124.0,50.75,4.72
125.0,43.75,4.72
126.0,35.0,4.74
127.0,40.0,4.71
128.0,49.0,4.72
129.0,43.75,4.71
130.0,42.0,4.74
131.0,46.5,4.69
132.0,43.75,4.72
133.0,42.5,4.71
134.0,52.0,4.71
135.0,35.5,4.73
136.0,53.75,4.7
137.0,33.0,4.71
138.0,43.25,4.73
139.0,45.0,4.72
140.0,41.0,4.71
141.0,41.25,4.71
142.0,43.0,4.74
143.0,43.75,4.72
144.0,46.0,4.72
145.0,32.0,4.76
146.0,50.0,4.72
147.0,44.0,4.72
148.0,42.5,4.7
149.0,50.5,4.74
150.0,37.5,4.72
151.0,45.0,4.72
152.0,34.5,4.75
153.0,60.0,4.72
154.0,35.0,4.72
155.0,45.5,4.72
156.0,32.25,4.75
157.0,60.0,4.73
158.0,36.0,4.74
159.0,50.0,4.72
160.0,33.5,4.76
161.0,54.5,4.73
162.0,44.0,4.73
163.0,43.25,4.73
164.0,46.25,4.72
165.0,39.25,4.75
166.0,49.25,4.72
167.0,52.0,4.72
168.0,36.5,4.72
169.0,54.75,4.72
170.0,44.75,4.76
171.0,40.0,4.72
172.0,32.75,4.72
173.0,53.5,4.77
174.0,32.5,4.74
175.0,50.0,4.72
176.0,32.75,4.76
177.0,40.0,4.73
178.0,40.5,4.72
179.0,44.0,4.72
180.0,33.0,4.78
181.0,52.25,4.72
182.0,42.0,4.73
183.0,23.75,4.77
184.0,50.0,4.74
185.0,40.0,4.72
186.0,41.5,4.77
187.0,33.75,4.74
188.0,30.25,4.72
189.0,50.0,4.78
190.0,40.5,4.74
191.0,33.5,4.73
192.0,32.75,4.78
193.0,48.5,4.75
194.0,50.5,4.75
195.0,30.0,4.78
196.0,30.0,4.76
197.0,40.0,4.79
198.0,40.75,4.75
199.0,40.0,4.76
200.0,34.75,4.76
201.0,31.0,4.79
202.0,50.0,4.76
203.0,42.5,4.76
204.0,32.25,4.81
205.0,50.0,4.76
206.0,42.25,4.76
207.0,36.5,4.81
208.0,40.75,4.78
209.0,34.5,4.77
210.0,42.25,4.8
211.0,34.0,4.78
212.0,52.0,4.76
213.0,34.75,4.77
214.0,47.0,4.81
215.0,41.5,4.77
216.0,37.0,4.77
217.0,34.0,4.81
218.0,51.5,4.77
219.0,46.75,4.77
220.0,34.25,4.8
221.0,32.0,4.78
222.0,41.0,4.77
223.0,41.5,4.8
224.0,54.25,4.76
225.0,44.75,4.77
226.0,33.75,4.76
227.0,40.25,4.8
228.0,46.0,4.77
229,45.0,4.76
