epoch,greenTime,reward
1.0,60.0,0.17
2.0,60.0,0.43
3.0,60.0,1.95
4.0,60.0,-2.09
5.0,60.0,-3.92
6.0,60.0,-4.04
7.0,60.0,-4.21
8.0,60.0,-4.44
9.0,60.0,-5.13
10.0,60.0,-5.41
11.0,60.0,-5.53
12.0,60.0,-5.72
13.0,60.0,-5.57
14.0,60.0,-5.72
15.0,60.0,-5.82
16.0,60.0,-5.97
17.0,60.0,-6.31
18.0,60.0,-6.14
19.0,60.0,-6.21
20.0,60.0,-6.28
21.0,60.0,-6.23
22.0,60.0,-6.27
23.0,60.0,-6.52
24.0,60.0,-6.58
25.0,60.0,-6.56
26.0,60.0,-6.77
27.0,60.0,-6.68
28.0,60.0,-6.72
29.0,60.0,-6.88
30.0,60.0,-6.84
31.0,60.0,-6.83
32.0,60.0,-6.85
33.0,60.0,-6.86
34.0,60.0,-6.92
35.0,60.0,-6.92
36.0,60.0,-6.89
37.0,60.0,-6.99
38.0,60.0,-6.99
39.0,60.0,-6.92
40.0,60.0,-7.07
41.0,60.0,-7.18
42.0,60.0,-7.18
43.0,60.0,-7.22
44.0,60.0,-7.27
45.0,60.0,-7.28
46.0,60.0,-7.15
47.0,60.0,-7.21
48.0,60.0,-7.26
49.0,60.0,-7.27
50.0,60.0,-7.38
51.0,60.0,-7.23
52.0,60.0,-7.22
53.0,60.0,-7.39
54.0,60.0,-7.46
55.0,60.0,-7.55
56.0,60.0,-7.46
57.0,60.0,-7.37
58.0,60.0,-7.5
59.0,60.0,-7.59
60.0,60.0,-7.49
61.0,60.0,-7.47
62.0,60.0,-7.39
63.0,60.0,-7.57
64.0,60.0,-7.72
65.0,60.0,-7.74
66.0,60.0,-7.71
67.0,60.0,-7.57
68.0,60.0,-7.37
69.0,60.0,-7.51
70.0,60.0,-7.71
71.0,60.0,-7.66
72.0,60.0,-7.5
73.0,60.0,-7.57
74.0,60.0,-7.63
75.0,60.0,-7.62
76.0,60.0,-7.63
77.0,60.0,-7.75
78.0,60.0,-7.81
79.0,60.0,-7.82
80.0,60.0,-7.78
81.0,60.0,-7.9
82.0,60.0,-7.95
83.0,60.0,-8.04
84.0,60.0,-8.06
85.0,60.0,-8.09
86.0,60.0,-7.99
87.0,60.0,-7.83
88.0,60.0,-7.76
89.0,60.0,-7.88
90.0,60.0,-7.97
91.0,60.0,-7.97
92.0,60.0,-8.01
93.0,60.0,-7.95
94.0,60.0,-7.94
95.0,60.0,-7.89
96.0,60.0,-7.97
97.0,60.0,-8.08
98.0,60.0,-8.16
99.0,60.0,-8.25
100.0,60.0,-8.21
101.0,60.0,-8.19
102.0,60.0,-8.18
103.0,60.0,-8.17
104.0,60.0,-8.09
105.0,60.0,-8.15
106.0,60.0,-8.28
107.0,60.0,-8.26
108.0,60.0,-8.25
109.0,60.0,-8.36
110.0,60.0,-8.37
111.0,60.0,-8.39
112.0,60.0,-8.37
113.0,60.0,-8.19
114.0,60.0,-8.1
115.0,60.0,-8.15
116.0,60.0,-8.11
117.0,60.0,-8.09
118.0,60.0,-8.22
119.0,60.0,-8.42
120.0,60.0,-8.46
121.0,60.0,-8.37
122.0,60.0,-8.29
123.0,60.0,-8.31
124.0,60.0,-8.26
125.0,60.0,-8.34
126.0,60.0,-8.36
127.0,60.0,-8.36
128.0,60.0,-8.33
129.0,60.0,-8.35
130.0,60.0,-8.39
131.0,60.0,-8.36
132.0,60.0,-8.38
133.0,60.0,-8.29
134.0,60.0,-8.39
135.0,60.0,-8.49
136.0,60.0,-8.41
137.0,60.0,-8.38
138.0,60.0,-8.31
139.0,60.0,-8.36
140.0,60.0,-8.43
141.0,60.0,-8.43
142.0,60.0,-8.39
143.0,60.0,-8.41
144.0,60.0,-8.54
145.0,60.0,-8.44
146.0,60.0,-8.43
147.0,60.0,-8.32
148.0,60.0,-8.34
149.0,60.0,-8.47
150.0,60.0,-8.49
151.0,60.0,-8.31
152.0,60.0,-8.32
153.0,60.0,-8.38
154.0,60.0,-8.51
155.0,60.0,-8.47
156.0,60.0,-8.42
157.0,60.0,-8.43
158.0,60.0,-8.48
159.0,60.0,-8.55
160.0,60.0,-8.53
161.0,60.0,-8.46
162.0,60.0,-8.5
163.0,60.0,-8.6
164.0,60.0,-8.57
165.0,60.0,-8.5
166.0,60.0,-8.6
167.0,60.0,-8.52
168.0,60.0,-8.51
169.0,60.0,-8.61
170.0,60.0,-8.55
171,60.0,-8.5
