time,avgFlowRate,avgSpeed,avgDensity,avgWaiting,avgQLength
11.0,0.0,9.05,0.1,0.0,0.0
21.0,0.0,23.75,0.42,0.0,0.0
31.0,0.0,24.01,0.76,0.0,0.0
41.0,0.0,23.74,1.09,0.0,0.0
51.0,0.0,24.24,1.46,0.0,0.0
61.0,0.0,24.09,1.77,0.0,0.0
71.0,0.0,24.09,2.03,0.0,0.0
81.0,0.0,24.32,2.37,0.0,0.0
91.0,0.0,24.24,2.71,0.0,0.0
101.0,0.0,24.2,3.07,0.0,0.0
111.0,0.0,24.27,3.41,0.0,0.0
121.0,0.0,24.34,3.72,0.0,0.0
131.0,0.0,24.13,4.01,0.0,0.0
141.0,0.0,24.31,4.38,0.0,0.0
151.0,0.0,24.25,4.66,0.0,0.0
161.0,0.0,24.3,4.97,0.0,0.0
171.0,0.0,24.28,5.37,0.0,0.0
181.0,5.0,23.81,5.58,1.25,0.56
191.0,23.69,26.12,5.96,7.0,1.12
201.0,72.0,38.23,6.21,9.88,0.56
211.0,81.43,39.91,6.55,8.43,1.5
221.0,85.91,39.14,6.83,11.86,3.19
231.0,117.39,40.47,7.09,17.03,4.12
241.0,135.0,39.62,7.42,22.94,5.25
251.0,140.4,39.13,7.71,26.6,6.94
261.0,200.77,41.87,7.8,21.76,5.62
271.0,243.33,44.94,8.14,24.52,5.06
281.0,270.0,44.82,8.55,23.6,7.31
291.0,282.41,44.3,8.8,27.17,8.62
301.0,288.0,44.17,9.14,29.18,10.88
311.0,290.32,43.64,9.47,33.18,11.81
321.0,317.81,43.85,9.6,32.45,9.56
331.0,373.63,44.48,9.94,33.78,5.81
341.0,431.47,44.7,10.31,33.94,7.12
351.0,447.43,44.24,10.66,33.03,8.62
361.0,452.5,42.65,10.87,38.92,10.88
371.0,447.57,42.02,11.2,40.48,13.31
381.0,459.48,41.03,11.38,36.91,14.62
391.0,526.15,42.17,11.42,34.5,8.06
401.0,564.75,43.79,11.73,32.05,7.88
411.0,588.29,43.45,12.08,29.5,9.56
421.0,595.72,42.25,12.41,32.15,12.38
431.0,592.33,41.62,12.72,38.64,14.81
441.0,593.18,40.84,13.02,39.79,16.12
451.0,650.0,40.05,13.04,36.03,12.75
461.0,688.69,39.59,13.18,32.86,13.69
471.0,708.51,39.71,13.43,31.83,15.19
481.0,723.75,39.23,13.78,32.98,16.88
491.0,727.35,38.84,13.98,40.66,19.12
501.0,729.0,38.05,14.26,44.38,21.56
511.0,742.94,36.99,14.47,41.97,21.56
521.0,763.27,36.67,14.85,41.6,21.0
531.0,794.72,36.89,14.88,41.61,22.31
541.0,813.33,36.68,15.09,41.24,23.06
551.0,813.27,36.41,15.4,47.06,24.94
561.0,814.82,34.98,15.71,48.55,28.31
571.0,830.52,33.73,15.77,47.44,30.75
581.0,903.11,34.67,15.89,45.04,25.5
591.0,965.59,36.12,15.96,44.75,24.0
601.0,1026.0,36.55,16.0,45.6,26.06
