time,avgFlowRate,avgSpeed,avgDensity,avgWaiting,avgQLength
11.0,0.0,14.27,0.16,0.0,0.0
21.0,0.0,20.94,0.39,0.0,0.0
31.0,0.0,24.06,0.57,0.0,0.0
41.0,0.0,24.14,0.86,0.0,0.0
51.0,0.0,24.45,1.17,0.0,0.0
61.0,0.0,23.91,1.41,0.0,0.0
71.0,0.0,24.31,1.67,0.0,0.0
81.0,0.0,24.34,1.95,0.0,0.0
91.0,0.0,24.07,2.21,0.0,0.0
101.0,0.0,24.29,2.42,0.0,0.0
111.0,0.0,24.17,2.74,0.0,0.0
121.0,0.0,24.12,3.0,0.0,0.0
131.0,0.0,24.01,3.31,0.0,0.0
141.0,0.0,24.15,3.51,0.0,0.0
151.0,0.0,24.14,3.75,0.0,0.0
161.0,0.0,24.3,4.04,0.0,0.0
171.0,0.0,24.3,4.3,0.0,0.0
181.0,5.0,23.98,4.56,1.5,0.38
191.0,4.74,26.41,4.79,8.54,1.31
201.0,13.5,32.07,5.1,10.04,2.25
211.0,12.86,31.66,5.36,15.0,3.19
221.0,24.55,30.59,5.54,18.77,4.5
231.0,43.04,32.89,5.72,24.51,5.81
241.0,56.25,32.29,6.0,31.19,6.75
251.0,61.2,35.35,6.26,35.23,7.69
261.0,135.0,37.99,6.31,34.49,5.81
271.0,200.0,37.11,6.58,33.36,7.88
281.0,208.93,37.35,6.89,37.47,9.0
291.0,204.83,36.4,7.12,39.51,10.88
301.0,210.0,35.93,7.35,41.9,12.19
311.0,214.84,34.69,7.61,45.47,13.69
321.0,239.06,35.64,7.84,49.21,12.75
331.0,289.09,41.88,8.01,51.92,11.44
341.0,328.24,42.17,8.15,56.11,12.19
351.0,339.43,42.09,8.49,59.75,13.12
361.0,342.5,41.63,8.77,62.62,14.62
371.0,340.54,40.84,9.03,66.83,15.75
381.0,343.42,40.02,9.11,65.98,17.06
391.0,403.85,40.05,9.22,65.22,13.12
401.0,441.0,40.63,9.5,65.89,13.69
411.0,454.39,40.2,9.75,65.44,15.38
421.0,456.43,39.72,9.98,66.92,16.69
431.0,470.93,37.13,10.15,67.83,19.12
441.0,470.45,36.7,10.41,69.0,21.38
451.0,538.0,37.67,10.49,70.21,17.25
461.0,571.31,38.32,10.63,73.37,16.5
471.0,603.19,38.05,10.77,73.71,17.25
481.0,613.12,37.34,11.05,74.5,19.5
